year,career,ranking,studyArea
2017,Senior Audit Manager,13,Commerce_FinanceAndAcounting
2017,Civil Engineer,14,Engineering
2017,Intfrastructure Engineer,15,Engineering
2017,Oracle HCM Manager,16,ManagementSciences
2017,Machine Learning Engineer,17,ComputerSciencesAndInformationTechnology
2017,Patient Experience Manager,18,ManagementSciences
2017,Commercial Project Manager,19,ManagementSciences
2017,Registered Nurse,20,MedicalSciences
2017,Computer Vision Engineer,21,ComputerSciencesAndInformationTechnology
2017,Revenue Manager,22,Commerce_FinanceAndAcounting
2017,Operations Lead,23,ManagementSciences
2017,Construction Superintendent,24,Engineering
2017,Continuous Improvement Manager,25,ManagementSciences
